id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore,season
40152038913,401520389,Florida,SEC,LSU,SEC,13,False,3,77,77,"{'minutes': 14, 'seconds': 48}",3,72,72,"{'minutes': 13, 'seconds': 37}","{'minutes': 1, 'seconds': 11}",3,5,PUNT,False,14,17,14,17,2023
40152038914,401520389,LSU,SEC,Florida,SEC,14,True,3,19,81,"{'minutes': 13, 'seconds': 37}",3,100,0,"{'minutes': 11, 'seconds': 5}","{'minutes': 2, 'seconds': 32}",6,81,TD,True,17,14,24,14,2023
40152038915,401520389,Florida,SEC,LSU,SEC,15,True,3,75,75,"{'minutes': 11, 'seconds': 5}",3,0,0,"{'minutes': 9, 'seconds': 37}","{'minutes': 1, 'seconds': 28}",4,75,TD,False,14,24,21,24,2023
40152038916,401520389,Florida,SEC,LSU,SEC,16,True,3,23,23,"{'minutes': 9, 'seconds': 32}",3,0,0,"{'minutes': 7, 'seconds': 16}","{'minutes': 2, 'seconds': 16}",5,23,TD,False,21,24,28,24,2023
40152038917,401520389,LSU,SEC,Florida,SEC,17,True,3,25,75,"{'minutes': 7, 'seconds': 16}",3,100,0,"{'minutes': 6, 'seconds': 9}","{'minutes': 1, 'seconds': 7}",4,75,TD,True,24,28,31,28,2023
40152038918,401520389,Florida,SEC,LSU,SEC,18,False,3,75,75,"{'minutes': 6, 'seconds': 9}",3,70,70,"{'minutes': 4, 'seconds': 19}","{'minutes': 1, 'seconds': 50}",3,5,PUNT,False,28,31,28,31,2023
40152038919,401520389,LSU,SEC,Florida,SEC,19,True,3,30,70,"{'minutes': 4, 'seconds': 19}",3,100,0,"{'minutes': 2, 'seconds': 18}","{'minutes': 2, 'seconds': 1}",5,70,TD,True,31,28,38,28,2023
40152038920,401520389,Florida,SEC,LSU,SEC,20,True,3,75,75,"{'minutes': 2, 'seconds': 18}",4,0,0,"{'minutes': 10, 'seconds': 27}","{'minutes': 6, 'seconds': 51}",13,75,TD,False,28,38,35,38,2023
40152038921,401520389,LSU,SEC,Florida,SEC,21,True,4,25,75,"{'minutes': 10, 'seconds': 27}",4,100,0,"{'minutes': 9, 'seconds': 14}","{'minutes': 1, 'seconds': 13}",3,75,TD,True,38,35,45,35,2023
40152038922,401520389,Florida,SEC,LSU,SEC,22,False,4,70,70,"{'minutes': 9, 'seconds': 14}",4,51,51,"{'minutes': 6, 'seconds': 34}","{'minutes': 2, 'seconds': 40}",5,19,DOWNS,False,35,45,35,45,2023
