season,team,conference,statName,statValue
2022,Georgia,SEC,netPassingYardsOpponent,3296
2022,Georgia,SEC,passAttempts,492
2022,Georgia,SEC,passAttemptsOpponent,511
2022,Georgia,SEC,passCompletions,336
2022,Georgia,SEC,passCompletionsOpponent,294
2022,Georgia,SEC,passesIntercepted,12
2022,Georgia,SEC,passesInterceptedOpponent,7
2022,Georgia,SEC,passingTDs,31
2022,Georgia,SEC,passingTDsOpponent,15
2022,Georgia,SEC,penalties,66
2022,Georgia,SEC,penaltiesOpponent,83
2022,Georgia,SEC,penaltyYards,673
2022,Georgia,SEC,penaltyYardsOpponent,616
2022,Georgia,SEC,possessionTime,30211
2022,Georgia,SEC,possessionTimeOpponent,23781
2022,Georgia,SEC,puntReturns,22
2022,Georgia,SEC,puntReturnsOpponent,6
2022,Georgia,SEC,puntReturnTDs,0
2022,Georgia,SEC,puntReturnTDsOpponent,1
2022,Georgia,SEC,puntReturnYards,265
2022,Georgia,SEC,puntReturnYardsOpponent,110
2022,Georgia,SEC,rushingAttempts,557
2022,Georgia,SEC,rushingAttemptsOpponent,401
2022,Georgia,SEC,rushingTDs,44
2022,Georgia,SEC,rushingTDsOpponent,7
2022,Georgia,SEC,rushingYards,3080
2022,Georgia,SEC,rushingYardsOpponent,1156
2022,Georgia,SEC,sacks,35
2022,Georgia,SEC,sacksOpponent,9
2022,Georgia,SEC,tacklesForLoss,81
2022,Georgia,SEC,tacklesForLossOpponent,49
2022,Georgia,SEC,thirdDownConversions,93
2022,Georgia,SEC,thirdDownConversionsOpponent,53
2022,Georgia,SEC,thirdDowns,182
2022,Georgia,SEC,thirdDownsOpponent,199
2022,Georgia,SEC,totalYards,7517
2022,Georgia,SEC,totalYardsOpponent,4452
2022,Georgia,SEC,turnovers,17
2022,Georgia,SEC,turnoversOpponent,19
2022,Kentucky,SEC,firstDowns,229
2022,Kentucky,SEC,firstDownsOpponent,198
2022,Kentucky,SEC,fourthDownConversions,16
2022,Kentucky,SEC,fourthDownConversionsOpponent,12
2022,Kentucky,SEC,fourthDowns,26
2022,Kentucky,SEC,fourthDownsOpponent,29
2022,Kentucky,SEC,fumblesLost,6
2022,Kentucky,SEC,fumblesLostOpponent,6
2022,Kentucky,SEC,fumblesRecovered,10
2022,Kentucky,SEC,fumblesRecoveredOpponent,11
2022,Kentucky,SEC,games,13
2022,Kentucky,SEC,interceptions,13
2022,Kentucky,SEC,interceptionsOpponent,10
2022,Kentucky,SEC,interceptionTDs,1
2022,Kentucky,SEC,interceptionTDsOpponent,3
