id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore,season,result_cat,scored,empty,quick_score,explosive
40140391020,401403910,Florida,SEC,Missouri,SEC,20,False,4,48,52,"{'minutes': 1, 'seconds': 17}",4,44,56,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 17}",3,-4,END OF GAME,True,24,17,24,17,2022,end_of_half,False,False,False,False
4014039171,401403917,Florida,SEC,LSU,SEC,1,True,1,48,52,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 14, 'seconds': 1}","{'minutes': 0, 'seconds': 59}",2,52,TD,True,0,0,7,0,2022,touchdown,True,False,True,True
4014039173,401403917,Florida,SEC,LSU,SEC,3,True,1,25,75,"{'minutes': 7, 'seconds': 46}",1,100,0,"{'minutes': 2, 'seconds': 0}","{'minutes': 5, 'seconds': 46}",10,75,TD,True,7,7,14,7,2022,touchdown,True,False,False,True
4014039175,401403917,Florida,SEC,LSU,SEC,5,False,2,25,75,"{'minutes': 11, 'seconds': 55}",2,29,71,"{'minutes': 9, 'seconds': 37}","{'minutes': 2, 'seconds': 18}",3,4,FUMBLE,True,14,14,14,14,2022,turnover,False,True,False,False
4014039176,401403917,Florida,SEC,LSU,SEC,6,True,2,87,13,"{'minutes': 9, 'seconds': 37}",2,100,0,"{'minutes': 8, 'seconds': 13}","{'minutes': 1, 'seconds': 24}",5,13,TD,True,14,14,21,14,2022,touchdown,True,False,False,False
4014039178,401403917,Florida,SEC,LSU,SEC,8,False,2,25,75,"{'minutes': 5, 'seconds': 55}",2,23,77,"{'minutes': 4, 'seconds': 19}","{'minutes': 1, 'seconds': 36}",3,-2,PUNT,True,21,21,21,21,2022,punt,False,True,False,False
40140391710,401403917,Florida,SEC,LSU,SEC,10,False,2,27,73,"{'minutes': 2, 'seconds': 24}",2,56,44,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 24}",5,29,DOWNS,True,21,28,21,28,2022,turnover_downs,False,True,False,False
40140391713,401403917,Florida,SEC,LSU,SEC,12,False,3,25,75,"{'minutes': 13, 'seconds': 17}",3,88,12,"{'minutes': 6, 'seconds': 58}","{'minutes': 6, 'seconds': 19}",11,63,DOWNS,True,21,35,21,35,2022,turnover_downs,False,True,False,False
40140391715,401403917,Florida,SEC,LSU,SEC,14,True,3,25,75,"{'minutes': 1, 'seconds': 7}",4,100,0,"{'minutes': 14, 'seconds': 46}","{'minutes': 1, 'seconds': 21}",2,75,TD,True,21,42,28,42,2022,touchdown,True,False,True,True
40140391717,401403917,Florida,SEC,LSU,SEC,16,True,4,20,80,"{'minutes': 12, 'seconds': 57}",4,100,0,"{'minutes': 7, 'seconds': 39}","{'minutes': 5, 'seconds': 18}",11,80,TD,True,28,42,35,42,2022,touchdown,True,False,False,True
40140391719,401403917,Florida,SEC,LSU,SEC,18,False,4,26,74,"{'minutes': 1, 'seconds': 52}",4,27,73,"{'minutes': 1, 'seconds': 4}","{'minutes': 0, 'seconds': 48}",7,1,DOWNS,True,35,45,35,45,2022,turnover_downs,False,True,False,False
4014039282,401403928,Florida,SEC,Georgia,SEC,2,False,1,84,84,"{'minutes': 11, 'seconds': 44}",1,80,80,"{'minutes': 10, 'seconds': 21}","{'minutes': 1, 'seconds': 23}",3,4,PUNT,False,0,0,0,0,2022,punt,False,True,False,False
4014039284,401403928,Florida,SEC,Georgia,SEC,4,False,1,64,64,"{'minutes': 7, 'seconds': 15}",1,58,58,"{'minutes': 4, 'seconds': 58}","{'minutes': 2, 'seconds': 17}",3,6,PUNT,False,0,7,0,7,2022,punt,False,True,False,False
4014039286,401403928,Florida,SEC,Georgia,SEC,6,False,1,75,75,"{'minutes': 1, 'seconds': 30}",1,74,74,"{'minutes': 0, 'seconds': 2}","{'minutes': 1, 'seconds': 28}",3,1,PUNT,False,0,14,0,14,2022,punt,False,True,False,False
4014039288,401403928,Florida,SEC,Georgia,SEC,8,False,2,59,59,"{'minutes': 14, 'seconds': 53}",2,61,61,"{'minutes': 13, 'seconds': 26}","{'minutes': 1, 'seconds': 27}",3,-2,PUNT,False,0,14,0,14,2022,punt,False,True,False,False
40140392810,401403928,Florida,SEC,Georgia,SEC,10,False,2,92,92,"{'minutes': 12, 'seconds': 36}",2,75,75,"{'minutes': 10, 'seconds': 18}","{'minutes': 2, 'seconds': 18}",6,17,PUNT,False,0,21,0,21,2022,punt,False,True,False,False
40140392812,401403928,Florida,SEC,Georgia,SEC,12,True,2,77,77,"{'minutes': 8, 'seconds': 42}",2,35,35,"{'minutes': 5, 'seconds': 35}","{'minutes': 3, 'seconds': 7}",6,42,FG,False,0,21,3,21,2022,field_goal,True,False,False,True
