season,team,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2024,Georgia,305.0,249.0,18.0,17.0,27.0,31.0,7.0,10.0,11.0,7.0,14.0,0.0,0.0,23.0,156.0,13.0,8.0,0.0,1.0,205.0,450.0,13.0,21.0,3934.0,2803.0,513.0,423.0,336.0,251.0,8.0,13.0,29.0,14.0,80.0,89.0,751.0,690.0,24979.0,25121.0,0.0,0.0,174.0,57.0,22.0,11.0,423.0,487.0,24.0,14.0,1750.0,1854.0,37.0,25.0,87.0,67.0,69.0,64.0,176.0,197.0,5684.0,4657.0,20.0,18.0
2024,Kentucky,233.0,215.0,11.0,6.0,25.0,9.0,6.0,6.0,6.0,6.0,12.0,1.0,2.0,99.0,268.0,17.0,10.0,1.0,0.0,613.0,285.0,31.0,16.0,2218.0,2197.0,312.0,280.0,167.0,178.0,10.0,17.0,15.0,9.0,75.0,81.0,625.0,662.0,21271.0,20433.0,0.0,0.0,130.0,40.0,16.0,11.0,440.0,428.0,11.0,20.0,1757.0,1955.0,22.0,35.0,67.0,71.0,48.0,56.0,142.0,142.0,3975.0,4152.0,23.0,16.0
2024,LSU,307.0,242.0,12.0,8.0,24.0,24.0,5.0,8.0,8.0,5.0,13.0,1.0,0.0,60.0,100.0,12.0,6.0,2.0,0.0,802.0,179.0,29.0,8.0,4084.0,2913.0,533.0,378.0,343.0,231.0,6.0,12.0,29.0,11.0,82.0,92.0,641.0,832.0,25010.0,21790.0,0.0,0.0,66.0,75.0,14.0,10.0,370.0,424.0,15.0,26.0,1520.0,1827.0,34.0,16.0,69.0,48.0,93.0,66.0,187.0,163.0,5604.0,4740.0,17.0,14.0
2024,Mississippi State,244.0,286.0,21.0,14.0,37.0,19.0,10.0,5.0,4.0,10.0,12.0,1.0,0.0,72.0,59.0,8.0,7.0,0.0,0.0,308.0,169.0,12.0,10.0,2871.0,2873.0,367.0,341.0,215.0,240.0,7.0,8.0,19.0,23.0,82.0,75.0,723.0,706.0,18496.0,24704.0,1.0,0.0,179.0,122.0,19.0,14.0,417.0,513.0,19.0,24.0,1663.0,2624.0,10.0,37.0,47.0,81.0,59.0,79.0,160.0,165.0,4534.0,5497.0,18.0,12.0
2024,Missouri,276.0,210.0,10.0,12.0,19.0,24.0,4.0,10.0,10.0,4.0,13.0,1.0,0.0,161.0,47.0,5.0,7.0,0.0,1.0,452.0,428.0,24.0,19.0,2916.0,2357.0,403.0,325.0,249.0,198.0,7.0,5.0,14.0,14.0,73.0,78.0,658.0,682.0,25672.0,21128.0,1.0,0.0,27.0,82.0,8.0,11.0,515.0,435.0,26.0,15.0,2152.0,1771.0,27.0,26.0,69.0,60.0,89.0,48.0,193.0,161.0,5068.0,4128.0,9.0,17.0
2024,Oklahoma,247.0,211.0,16.0,10.0,31.0,21.0,15.0,12.0,12.0,15.0,13.0,2.0,2.0,184.0,118.0,6.0,9.0,0.0,1.0,246.0,391.0,13.0,16.0,2286.0,2641.0,373.0,359.0,235.0,217.0,9.0,6.0,16.0,17.0,69.0,81.0,591.0,688.0,22598.0,24202.0,0.0,0.0,223.0,106.0,28.0,22.0,518.0,473.0,17.0,11.0,2025.0,1500.0,35.0,50.0,96.0,100.0,73.0,71.0,195.0,196.0,4311.0,4141.0,21.0,21.0
2024,Ole Miss,322.0,242.0,17.0,19.0,29.0,37.0,6.0,11.0,10.0,6.0,13.0,1.0,0.0,85.0,69.0,7.0,12.0,0.0,1.0,141.0,253.0,7.0,12.0,4561.0,3000.0,434.0,446.0,295.0,267.0,12.0,7.0,31.0,13.0,94.0,80.0,936.0,699.0,22140.0,24660.0,0.0,0.0,126.0,61.0,21.0,11.0,499.0,455.0,29.0,7.0,2286.0,1047.0,53.0,29.0,120.0,78.0,71.0,65.0,169.0,204.0,6847.0,4047.0,13.0,23.0
2024,South Carolina,280.0,235.0,12.0,7.0,25.0,23.0,14.0,10.0,10.0,14.0,13.0,2.0,0.0,173.0,73.0,7.0,14.0,0.0,0.0,308.0,400.0,17.0,25.0,2897.0,2657.0,342.0,396.0,225.0,229.0,14.0,7.0,21.0,10.0,87.0,77.0,754.0,644.0,24296.0,22504.0,0.0,0.0,125.0,72.0,19.0,18.0,547.0,451.0,26.0,18.0,2407.0,1465.0,41.0,40.0,87.0,95.0,77.0,63.0,179.0,178.0,5304.0,4122.0,21.0,24.0
2024,Tennessee,303.0,225.0,11.0,7.0,18.0,22.0,8.0,9.0,9.0,8.0,13.0,1.0,1.0,247.0,256.0,7.0,12.0,0.0,1.0,290.0,229.0,14.0,10.0,2875.0,2461.0,373.0,381.0,236.0,224.0,12.0,7.0,21.0,11.0,105.0,89.0,869.0,691.0,23086.0,23718.0,1.0,0.0,424.0,115.0,28.0,17.0,581.0,453.0,34.0,13.0,2949.0,1355.0,29.0,30.0,101.0,62.0,93.0,53.0,197.0,176.0,5824.0,3816.0,15.0,21.0
2024,Texas,353.0,263.0,18.0,18.0,33.0,37.0,12.0,9.0,9.0,12.0,16.0,1.0,1.0,182.0,130.0,14.0,22.0,0.0,0.0,294.0,381.0,15.0,23.0,4459.0,2781.0,541.0,489.0,357.0,292.0,22.0,14.0,40.0,9.0,102.0,90.0,829.0,765.0,28667.0,28933.0,1.0,0.0,315.0,150.0,30.0,16.0,580.0,538.0,26.0,15.0,2546.0,1764.0,45.0,37.0,113.0,113.0,91.0,71.0,216.0,226.0,7005.0,4545.0,26.0,31.0
2024,Texas A&M,279.0,256.0,8.0,15.0,18.0,29.0,4.0,4.0,4.0,4.0,13.0,2.0,0.0,249.0,45.0,11.0,16.0,0.0,0.0,308.0,534.0,16.0,23.0,2734.0,3018.0,361.0,428.0,216.0,228.0,16.0,11.0,19.0,20.0,98.0,80.0,862.0,668.0,24704.0,22096.0,0.0,0.0,86.0,33.0,14.0,4.0,522.0,439.0,27.0,14.0,2550.0,1760.0,24.0,24.0,92.0,52.0,79.0,64.0,176.0,181.0,5284.0,4778.0,15.0,20.0
